id,dateTime,categoryId,categoryName,title,location,meetingUrl,mediaUrl,agendaUrl,agendaPacketUrl,minutesUrl
14594,2026-03-17T17:30:00Z,26,Select Board,Select Board Regular Meeting,"Select Board Hearing Room 6th Floor, , Brookline Town Hall, and Zoom",https://brooklinema.portal.civicclerk.com/event/14594,,,,
14772,2026-03-17T17:30:00Z,26,Select Board,Select Board Regular Meeting,"Select Board Hearing Room 6th Floor, , Brookline Town Hall, and Zoom",https://brooklinema.portal.civicclerk.com/event/14772,,,,
14825,2026-03-17T17:30:00Z,26,Select Board,Select Board Regular Meeting,"Select Board Hearing Room 6th Floor, , Brookline Town Hall, and Zoom",https://brooklinema.portal.civicclerk.com/event/14825,,,,
14151,2026-03-18T17:00:00Z,87,School Committee,School Finance and Capital Improvements Subcommittee Meeting,Remote via Zoom,https://brooklinema.portal.civicclerk.com/event/14151,,,,
14117,2026-03-19T18:00:00Z,87,School Committee,School Committee Meeting,"Brookline Town Hall, 5th Floor, and Remote via BIG Live Stream and Broadcast",https://brooklinema.portal.civicclerk.com/event/14117,,,,
14678,2026-03-24T13:00:00Z,26,Select Board,Select Board Regular Meeting,Via Zoom remote meeting,https://brooklinema.portal.civicclerk.com/event/14678,,,,
14999,2026-03-24T16:00:00Z,87,School Committee,School Negotiations Subcommittee Meeting (Open Session),"Brookline Town Hall, 5th Floor,, 333 Washington Street",https://brooklinema.portal.civicclerk.com/event/14999,,,,
14595,2026-03-24T17:30:00Z,26,Select Board,Select Board Regular Meeting,"Select Board Hearing Room 6th Floor, , Brookline Town Hall, and Zoom",https://brooklinema.portal.civicclerk.com/event/14595,,,,
14773,2026-03-24T17:30:00Z,26,Select Board,Select Board Regular Meeting,"Select Board Hearing Room 6th Floor, , Brookline Town Hall, and Zoom",https://brooklinema.portal.civicclerk.com/event/14773,,,,
14826,2026-03-24T17:30:00Z,26,Select Board,Select Board Regular Meeting,"Select Board Hearing Room 6th Floor, , Brookline Town Hall, and Zoom",https://brooklinema.portal.civicclerk.com/event/14826,,,,
14216,2026-03-25T16:00:00Z,87,School Committee,School Curriculum Subcommittee Meeting,"Town Hall, 5th Floor, and Remote via Zoom",https://brooklinema.portal.civicclerk.com/event/14216,,,,
14116,2026-03-26T18:00:00Z,87,School Committee,School Committee Meeting,"Brookline Town Hall, 5th Floor, and Remote via BIG Live Stream and Broadcast",https://brooklinema.portal.civicclerk.com/event/14116,,,,
14679,2026-03-31T13:00:00Z,26,Select Board,Select Board Regular Meeting,Via Zoom remote meeting,https://brooklinema.portal.civicclerk.com/event/14679,,,,
14224,2026-03-31T17:00:00Z,87,School Committee,"School Diversity, Equity, Inclusion & Justice Subcommittee Meeting",Remote via Zoom,https://brooklinema.portal.civicclerk.com/event/14224,,,,
14596,2026-03-31T17:30:00Z,26,Select Board,Select Board Regular Meeting,"Select Board Hearing Room 6th Floor, , Brookline Town Hall, and Zoom",https://brooklinema.portal.civicclerk.com/event/14596,,,,
14774,2026-03-31T17:30:00Z,26,Select Board,Select Board Regular Meeting,"Select Board Hearing Room 6th Floor, , Brookline Town Hall, and Zoom",https://brooklinema.portal.civicclerk.com/event/14774,,,,
14827,2026-03-31T17:30:00Z,26,Select Board,Select Board Regular Meeting,"Select Board Hearing Room 6th Floor, , Brookline Town Hall, and Zoom",https://brooklinema.portal.civicclerk.com/event/14827,,,,
